,Event,max,min,avg,pct
26,ComponentTickTime/SPSwimComponent/BP_SPGameCharacter_C/BP_SPSwimComponent_C,0.247,0.011,0.042,0.06%
27,ComponentTickTime/SPCharTagComponent/BP_SPGameCharacter_C/SPCharTagComponent,0.102,0.0,0.001,0.00%
28,ComponentTickTime/SPHangGliderComponent/BP_SPGameCharacter_C/BP_SPHangGliderComponent_C,0.08,0.007,0.016,0.02%
29,ComponentTickTime/MoeAntiDataComponent/BP_SPPlayerController_V2_C/MoeAntiDataComponent,0.084,0.005,0.012,0.02%
30,ComponentTickTime/VehicleInteractiveRPCComponent/BP_SPPlayerController_V2_C/VehicleInteractiveRPCComponent,0.049,0.0,0.004,0.00%
31,ActorTickTime/SPPlayerOfficialController/BP_SPPlayerController_V2_C,0.38,0.081,0.12,0.16%
32,ActorTickTime/Camera,0.0,0.0,0.0,0.00%
33,,,,,
34,Monster,10.338,1.37,2.596,3.52%
35,SPGameplay/GameThread/ActorTickSPGameMonster,2.033,0.531,0.895,1.21%
36,SPGameplay/GameThread/SPMonsterStateMachineComponent,2.15,0.722,1.083,1.47%
37,SPGameplay/SPLuaDiscreteTask/SPGameMonsterBase,1.907,0.0,0.6,0.81%
38,SPGameplay/SPLuaDiscreteTask/SPGameMonsterManager,8.483,0.0,0.018,0.02%
39,,,,,
40,Ability,36.213,0.467,4.242,5.75%
41,SPGameplay/GameThread/SPAbility,36.163,0.394,4.188,5.67%
42,SPGameplay/GameThread/ActorTickSPWeapon,0.435,0.04,0.054,0.07%
43,ComponentTickTime/SPGameCharacterBase/BP_SPGameCharacter_C_Autonomous/BP_SPCharTakeDamageComponent_C,0.0,0.0,0.0,0.00%
44,,,,,
45,Animation,0.89,0.117,0.196,0.27%
46,Exclusive/GameThread/Animation,0.0,0.0,0.0,0.00%
47,AnimationBudget/GameThread/BudgetedAnimation,0.356,0.0,0.006,0.01%
48,Exclusive/GameThread/Animation_SkeletalMeshComponentTick,0.355,0.094,0.156,0.21%
49,Exclusive/GameThread/Animation_AnimationCompletionTask,0.272,0.018,0.035,0.05%
50,,,,,
51,NetworkInComing,251.624,0.601,2.733,3.70%
52,Exclusive/GameThread/NetworkIncoming,14.746,0.283,0.687,0.93%
53,Exclusive/GameThread/HandleRPC,246.897,0.074,1.477,2.00%
54,Exclusive/GameThread/RepNotifies,3.745,0.2,0.569,0.77%
55,,,,,
56,Network,22.017,4.643,9.408,12.74%
57,Exclusive/GameThread/ServerReplicateActors,8.359,3.351,4.892,6.62%
58,Exclusive/GameThread/ReplicateActor,15.32,0.887,4.276,5.79%
59,Exclusive/GameThread/NetworkOutgoing,7.612,0.127,0.238,0.32%
60,Exclusive/GameThread/ReplicateDormantDestructionInfos,0.081,0.0,0.003,0.00%
61,,,,,
62,Physics,42.021,2.103,6.306,8.54%
63,Exclusive/GameThread/StartPhysicsMisc,3.727,0.256,0.365,0.49%
64,Exclusive/GameThread/Physics_ExecuteTick1,0.061,0.005,0.01,0.01%
65,Exclusive/GameThread/Physics_ExecuteTick2,0.067,0.008,0.015,0.02%
66,Exclusive/GameThread/Physics_ProcessPhysScene,26.625,0.16,1.837,2.49%
67,Exclusive/GameThread/Physics_TickPhysScene,38.537,1.421,4.08,5.53%
68,,,,,
69,LuaTick,2.442,0.018,0.047,0.06%
70,GameThread/Empty/xxxxx,0.0,0.0,0.0,0.00%
71,GameThread/LetsGoGameInstanceTick,0.0,0.0,0.0,0.00%
72,GameThread/LetsGoGameInstanceTick_WorkThread,0.0,0.0,0.0,0.00%
73,GameThread/Empty/xxxxx,0.0,0.0,0.0,0.00%
74,SPGameplay/SPLuaDiscreteTask/SPGameDSHeartBeatManager,2.442,0.018,0.047,0.06%
75,SPGameplay/SPLuaDiscreteTask/None,0.0,0.0,0.0,0.00%
76,,,,,
77,OW,185.35,0.022,1.872,2.54%
78,ActorTickTime/Actor/BP_DayAndNightChanges_C,0.0,0.0,0.0,0.00%
79,ActorTickTime/SP_AirWallActor/BP_SP_Package_AirWall_C,0.069,0.0,0.001,0.00%
80,ActorTickTime/SP_IllegalBuildRegionActor/BP_SP_POI_IllegalBuildRegion_Sphere_Actor_C,0.088,0.002,0.011,0.02%
81,ActorTickTime/SP_WaterActor,0.091,0.007,0.019,0.03%
82,ActorTickTime/TreeCutProxy,0.0,0.0,0.0,0.00%
83,SPGameplay/SPLuaTickable/_SP.DS.DSStreamablePOIManager,184.137,0.0,0.828,1.12%
84,SPGameplay/SPLuaTickable/_SP.DS.MonsterManager,7.544,0.0,0.339,0.46%
85,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSFriendVisitManager,0.0,0.0,0.0,0.00%
86,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSGMAIPlayerManager,0.078,0.008,0.01,0.01%
87,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSManager,2.709,0.0,0.003,0.00%
88,SPGameplay/SPLuaTickable/_SP.DS.SPGameDsInvadeManager,0.005,0.0,0.0,0.00%
89,SPGameplay/SPLuaTickable/_SP.DS.SPGameOWGYMManager,0.022,0.0,0.001,0.00%
90,SPGameplay/SPLuaTickable/_SP.DS.SPGameOWLevelManager,11.188,0.0,0.027,0.04%
91,SPGameplay/SPLuaTickable/_SP.DS.SPGameOWMissionManager,0.24,0.0,0.01,0.01%
92,SPGameplay/SPLuaTickable/_SP.DS.SPGamePOIReportManager,0.023,0.0,0.002,0.00%
93,SPGameplay/SPLuaTickable/_SP.DS.SPGameStatisticalTestManager,0.005,0.0,0.0,0.00%
94,SPGameplay/SPLuaTickable/_SP.DS.SPGameTemperatureManager,1.202,0.0,0.029,0.04%
95,SPGameplay/SPLuaTickable/_SP.DS.SPWorldDSStatusStorageManager,6.645,0.0,0.042,0.06%
96,SPGameplay/SPLuaTickable/_SP.DS.SPWorldDSTimeManager,0.188,0.0,0.006,0.01%
97,SPGameplay/SPLuaDiscreteTask/SPGameEncounterModeManager,17.26,0.0,0.028,0.04%
98,SPGameplay/SPLuaDiscreteTask/SPGameGPORegionManager,11.1,0.0,0.147,0.20%
99,SPGameplay/SPLuaDiscreteTask/SPGameStreamablePOIPreloadManager,1.309,0.0,0.109,0.15%
100,SPGameplay/SPLuaDiscreteTask/SP_PropsPickerComponent,1.559,0.0,0.254,0.34%
101,SPGameplay/SPLuaDiscreteTask/SP_PropsBase,0.608,0.0,0.005,0.01%
102,,,,,
103,SOC,58.789,0.442,7.226,9.79%
104,SPGameplay/SPLuaTickable/_SP.DS.DSBuildingFunctionManager,41.215,0.153,0.655,0.89%
105,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSBuildingElectricManager,0.0,0.0,0.0,0.00%
106,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSBuildingHPManager,0.096,0.0,0.005,0.01%
107,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSTerminalManager,2.258,0.186,0.36,0.49%
108,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSTradingPostBuildingManager,0.662,0.002,0.011,0.02%
109,SPGameplay/SPLuaTickable/_SP.DS.SPNetwork,0.0,0.0,0.0,0.00%
110,SPGameplay/SPLuaDiscreteTask/SPGameDSCostPowerSubManager,0.0,0.0,0.0,0.00%
111,SPGameplay/SPLuaDiscreteTask/SPGameDSElectricSubManager,16.708,0.0,0.784,1.06%
112,SPGameplay/SPLuaDiscreteTask/SPGameSOCDormancyData,31.992,0.0,2.884,3.91%
113,SPGameplay/SPLuaDiscreteTask/SPGameDSSOCAITaskManager,21.904,0.03,2.396,3.25%
114,SPGameplay/SPLuaDiscreteTask/SPBuildingActorScriptFunctionSeedBox,0.85,0.0,0.011,0.02%
115,SPGameplay/SPLuaDiscreteTask/SPBuildingActorScriptTerminal,43.066,0.0,0.12,0.16%
116,,,,,
117,System,278.077,0.064,1.193,1.62%
118,ComponentTickTime/SPMapFogRenderComponent/BP_SPPlayerController_V2_C/BP_SPMapFogRenderComp_C,14.744,0.04,0.102,0.14%
119,ComponentTickTime/SPGameCharacterBase/BP_SPGameCharacter_C_Autonomous/SPGameCharBurdenComponent,0.0,0.0,0.0,0.00%
120,ComponentTickTime/SPGameCharacterBase/BP_SPGameCharacter_C_Autonomous/BP_SPPropsPickerComponent_C,0.0,0.0,0.0,0.00%
121,SPGameplay/SPLuaTickable/_SP.DS.LuaConsoleMgr,0.533,0.0,0.006,0.01%
122,SPGameplay/SPLuaTickable/_SP.DS.SPAttributeDataManager,0.059,0.0,0.006,0.01%
123,SPGameplay/SPLuaTickable/_SP.DS.SPChunkDownloadManager,0.024,0.0,0.001,0.00%
124,SPGameplay/SPLuaTickable/_SP.DS.SPCombatEffectReporter,0.0,0.0,0.0,0.00%
125,SPGameplay/SPLuaTickable/_SP.DS.SPDSFunctionControlManager,0.021,0.0,0.0,0.00%
126,SPGameplay/SPLuaTickable/_SP.DS.SPDSStatusManager,276.771,0.0,0.436,0.59%
127,SPGameplay/SPLuaTickable/_SP.DS.SPGameAccountBriefDataManager,0.04,0.002,0.003,0.00%
128,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSDelayMigrateManager,0.005,0.0,0.0,0.00%
129,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSGuildManager,0.234,0.0,0.001,0.00%
130,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSInteractionManager,0.733,0.0,0.001,0.00%
131,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSMailManager,22.594,0.0,0.012,0.02%
132,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSPalSurvivalManager,2.95,0.0,0.004,0.01%
133,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSPetManager,23.046,0.004,0.356,0.48%
134,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSPlayerBriefDataManager,0.035,0.001,0.003,0.00%
135,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSPlayerPublicInfoManager,3.298,0.003,0.008,0.01%
136,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSReportTlogManager,0.016,0.0,0.0,0.00%
137,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSResourceBalanceTableManager,0.0,0.0,0.0,0.00%
138,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSResourceControlManager,0.0,0.0,0.0,0.00%
139,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSShopService,0.085,0.0,0.002,0.00%
140,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSSurvivalManager,0.768,0.0,0.003,0.00%
141,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSTaskManager,0.045,0.0,0.0,0.00%
142,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSTimeRefreshManager,0.39,0.0,0.011,0.01%
143,SPGameplay/SPLuaTickable/_SP.DS.SPGameDsBackpackInfoManager,0.0,0.0,0.0,0.00%
144,SPGameplay/SPLuaTickable/_SP.DS.SPGamePlayerTrackManager,3.874,0.0,0.073,0.10%
145,SPGameplay/SPLuaTickable/_SP.DS.SPGameTimeManager,0.006,0.0,0.0,0.00%
146,SPGameplay/SPLuaTickable/_SP.DS.SPGameUserDataManager,9.727,0.001,0.114,0.15%
147,SPGameplay/SPLuaTickable/_SP.DS.SPGameWorldPveDataManager,0.0,0.0,0.0,0.00%
148,SPGameplay/SPLuaTickable/_SP.DS.SPMailAgent,0.019,0.0,0.0,0.00%
149,SPGameplay/SPLuaTickable/_SP.DS.SPOfflineTaskDataManager,0.038,0.003,0.005,0.01%
150,SPGameplay/SPLuaDiscreteTask/SPJobBTUserTicker,8.975,0.0,0.045,0.06%
151,,,,,
152,GamePlay,60.381,0.086,0.151,0.20%
153,ActorTickTime/SPGame,60.345,0.055,0.116,0.16%
154,ActorTickTime/SPGameInfo/BP_SPGameInfo_C,0.06,0.001,0.002,0.00%
155,ActorTickTime/SPGameModeV2/BP_IntactModMode_SPGame_C,0.131,0.018,0.026,0.04%
156,ActorTickTime/EcaGameState/BP_EcaGameState_C,0.093,0.002,0.005,0.01%
157,ActorTickTime/GameFramework,0.0,0.0,0.0,0.00%
158,ActorTickTime/LetsGoGameScene,0.027,0.001,0.001,0.00%
159,ActorTickTime/Player,0.0,0.0,0.0,0.00%
160,ActorTickTime/SPProjectileWithTarget/BP_SP_Projectile_Wood_NormalAttack_01_target_C,0.0,0.0,0.0,0.00%
161,SPGameplay/SPLuaDiscreteTask/SPDSPlayerTimeoutLogoutManager,0.04,0.0,0.001,0.00%
162,,,,,
163,Other,218.393,7.491,10.649,14.42%
164,Exclusive/GameThread/WorldTickMisc,7.778,1.32,1.796,2.43%
165,Exclusive/GameThread/PrePhysicsMisc,36.485,1.989,4.546,6.16%
166,Exclusive/GameThread/PostPhysicsMisc,0.472,0.134,0.253,0.34%
167,Exclusive/GameThread/EndPhysicsMisc,2.6,0.389,0.514,0.70%
168,Exclusive/GameThread/QueueTicks,8.081,1.859,2.522,3.42%
169,Exclusive/GameThread/EngineTickMisc,0.414,0.018,0.064,0.09%
170,Exclusive/GameThread/GarbageCollection,206.908,0.0,0.403,0.55%
171,ActorTickTime/GameplayDebuggerPlayerManager,0.0,0.0,0.0,0.00%
172,Exclusive/GameThread/LogFlush,13.334,0.0,0.017,0.02%
173,Exclusive/GameThread/DeferredTickTime,23.87,0.033,0.223,0.30%
174,Exclusive/GameThread/TimerManager,14.715,0.01,0.133,0.18%
175,Exclusive/GameThread/SPPrimedTickSubsystemTick,3.07,0.024,0.179,0.24%
176,SPGameplay/SPLuaDiscreteTask/SPTaskFlow,0.209,0.0,0.0,0.00%
177,,,,,
178,CSVProfiler,3.254,1.723,2.185,2.96%
179,Exclusive/GameThread/CSVProfiler_RecordActorMonitorData,1.438,0.564,0.783,1.06%
180,Exclusive/GameThread/CSVProfiler_RecordTickCounts,1.956,0.955,1.283,1.74%
181,Exclusive/GameThread/CsvProfiler_BeginFrame,0.039,0.0,0.001,0.00%
182,Exclusive/GameThread/CsvProfiler_EndFrame,0.378,0.055,0.118,0.16%
183,,,,,
184,Unknown,0.0,0.0,5.96,8.07%
185,GameThread/GameEngineTick,1411.741,42.139,73.837,0.00%
186,,,,,
187,SPGameplay/CPUTimePct,2.176,0.796,1.274,0.00%
188,Replication/Connections,10.0,9.0,9.839,0.00%
189,Ticks/BehaviorTreeComponent,144.0,88.0,118.022,0.00%
190,SPGameplay/GameThread/SPCharacterMovement_ServerTickMovement,32.819,0.197,0.745,0.00%
191,SPGameplay/SPGameDSTerminalManager.ActiveAICount,120.0,60.0,85.238,0.00%
192,SPGameplay/SPGameDSTerminalManager.SleepAICount,240.0,180.0,214.762,0.00%
193,SPGameplay/SPGameDSTerminalManager.ActiveTerminalCount,8.0,4.0,5.683,0.00%
194,SPGameplay/SPGameDSTerminalManager.SleepTerminalCount,16.0,12.0,14.317,0.00%
195,SPGameplay/RoomLod,3.0,3.0,3.0,0.00%
196,,0.0,0.0,0.0,0.00%
197,,0.0,0.0,0.0,0.00%
198,,0.0,0.0,0.0,0.00%
199,,0.0,0.0,0.0,0.00%
200,,0.0,0.0,0.0,0.00%
201,,0.0,0.0,0.0,0.00%
202,,0.0,0.0,0.0,0.00%
203,,0.0,0.0,0.0,0.00%
204,,0.0,0.0,0.0,0.00%
205,,,,,
206,ActorAnimationTime/BP_SP_TreasureChestActor_Gold_C,0.064,0.003,0.01,0.00%
207,ActorAnimationTime/BP_SP_TreasureChestActor_Silver_C,0.07,0.004,0.015,0.00%
208,ActorAnimationTime/BP_SP_xuanma_C,0.239,0.0,0.003,0.00%
209,ActorCount/AbstractNavData,1.0,1.0,1.0,0.00%
210,ActorCount/Actor,263.0,263.0,263.0,0.00%
211,ActorCount/Actor/BP_BillboardFog02_C,7.0,7.0,7.0,0.00%
212,ActorCount/Actor/BP_BillboardFog_PC_C,10.0,10.0,10.0,0.00%
213,ActorCount/Actor/BP_SP_POI_TeleportEffect_C,3.0,3.0,3.0,0.00%
214,ActorCount/Actor/SP_Waterfall_00_C,48.0,48.0,48.0,0.00%
215,ActorCount/Actor/SP_Waterfall_Short_C,35.0,35.0,35.0,0.00%
216,ActorCount/Actor/StaeP_BP_Scence_Dixiacheng_01_C,39.0,36.0,38.141,0.00%
217,ActorCount/Actor/StarP_BP_POI_Building_Fazhen_C,1.0,1.0,1.0,0.00%
218,ActorCount/Actor/StarP_BP_POI_Building_Fazhen_Small_C,1.0,0.0,0.505,0.00%
219,ActorCount/Actor/StarP_BP_PVP_Fog_C,1.0,1.0,1.0,0.00%
220,ActorCount/Actor/StarP_BP_Scence_Fire_common_001_C,8.0,8.0,8.0,0.00%
221,ActorCount/Actor/StarP_BP_Scence_Glow_008_C,1.0,1.0,1.0,0.00%
222,ActorCount/Actor/StarP_BP_Scence_SP_MazeEntrance_002_C,4.0,4.0,4.0,0.00%
223,ActorCount/Actor/StarP_BP_Scence_SP_MazeEntrance_C,4.0,4.0,4.0,0.00%
224,ActorCount/Actor/StarP_BP_Scence_ZhongDuan_01_C,20.0,20.0,20.0,0.00%
225,ActorCount/Actor/StarP_BP_Scence_ZhongDuan_02_C,20.0,20.0,20.0,0.00%
226,ActorCount/Actor/StarP_BP_Scence_ZhongDuan_03_C,20.0,20.0,20.0,0.00%
227,ActorCount/Actor/StarP_BP_Scence_ZhongDuan_04_C,20.0,20.0,20.0,0.00%
228,ActorCount/Actor/StarP_BP_Scence_ZhongDuan_05_C,20.0,20.0,20.0,0.00%
229,ActorCount/Actor/StarP_BP_Scence_ZhongDuan_06_C,20.0,20.0,20.0,0.00%
230,ActorCount/Actor/Starp_BP_Scence_LandMark_LightPillar_C,1.0,1.0,1.0,0.00%
231,ActorCount/Actor/Starp_BP_Scence_LandMark_Meteorolite_SpeE_003_C,1.0,1.0,1.0,0.00%
232,ActorCount/CameraActor,11.0,9.0,10.042,0.00%
233,ActorCount/Category_Camera,22.0,18.0,20.084,0.00%
234,ActorCount/Category_Character,340.0,156.0,238.513,0.00%
235,ActorCount/Category_GameFramework,4.0,4.0,4.0,0.00%
236,ActorCount/Category_OtherActor,56089.0,55776.0,55919.057,0.00%
237,ActorCount/Category_Player,248.0,136.0,182.877,0.00%
238,ActorCount/DecalActor,21.0,21.0,21.0,0.00%
239,ActorCount/DefaultPhysicsVolume,1.0,1.0,1.0,0.00%
240,ActorCount/EcaGameState/BP_EcaGameState_C,1.0,1.0,1.0,0.00%
241,ActorCount/EcaPlayerState,12.0,10.0,10.477,0.00%
242,ActorCount/Emitter,2.0,2.0,2.0,0.00%
243,ActorCount/GameModeBase,0.0,0.0,0.0,0.00%
244,ActorCount/GameNetworkManager,1.0,1.0,1.0,0.00%
245,ActorCount/GameSession,1.0,1.0,1.0,0.00%
246,ActorCount/GameStateBase,0.0,0.0,0.0,0.00%
247,ActorCount/InstancedFoliageActor,250.0,250.0,250.0,0.00%
248,ActorCount/Landscape,1.0,1.0,1.0,0.00%
249,ActorCount/LandscapeGizmoActiveActor,2.0,2.0,2.0,0.00%
250,ActorCount/LandscapeStreamingProxy,2304.0,2304.0,2304.0,0.00%
251,ActorCount/LetsGoGameScene,1.0,1.0,1.0,0.00%
252,ActorCount/LevelBounds,4637.0,4637.0,4637.0,0.00%
253,ActorCount/LevelRepInfoActor,39.0,33.0,36.988,0.00%
254,ActorCount/LevelScriptActor/Landscape_15_07_1_0_C,1.0,1.0,1.0,0.00%
255,ActorCount/MoeWorldSettings,4641.0,4641.0,4641.0,0.00%
256,ActorCount/NavMeshBoundsVolume,1153.0,1153.0,1153.0,0.00%
257,ActorCount/NavModifierVolume,3330.0,3330.0,3330.0,0.00%
258,ActorCount/PlayerCameraManager,11.0,9.0,10.042,0.00%
259,ActorCount/PlayerDSSessionContainer,1.0,1.0,1.0,0.00%
260,ActorCount/PlayerDsSession,12.0,11.0,11.282,0.00%
261,ActorCount/PlayerServerDataProxy,12.0,11.0,11.282,0.00%
262,ActorCount/RegionalEffectsVolume,4.0,4.0,4.0,0.00%
263,ActorCount/SPCaptureBallBase/BP_PrimaryCaptureBall_Level1_C,22.0,18.0,20.067,0.00%
264,ActorCount/SPComboMeleeWeapon/SP_Weapon_Hand_C,1.0,0.0,0.241,0.00%
265,ActorCount/SPEncounterDataActor/BP_SP_POI_EncounterDataActor_C,1.0,1.0,1.0,0.00%
266,ActorCount/SPGame,1.0,1.0,1.0,0.00%
267,ActorCount/SPGameBuildingStructureActor/BP_SOCM_BU_TempleWealth_001_C,20.0,20.0,20.0,0.00%
268,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_BaseShop_001_C,20.0,20.0,20.0,0.00%
269,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Bed_001_C_C,300.0,300.0,300.0,0.00%
270,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Bed_001_D_C,300.0,300.0,300.0,0.00%
271,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Bed_001_E_C,301.0,301.0,301.0,0.00%
272,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Cooler_001_C,60.0,60.0,60.0,0.00%
273,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Dynamo_001_C,57.0,57.0,57.0,0.00%
274,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Feed_001_A_C,60.0,60.0,60.0,0.00%
275,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Heater_001_C,60.0,60.0,60.0,0.00%
276,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_HotSpring_001_c,40.0,40.0,40.0,0.00%
277,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_HotSpring_002_c,40.0,40.0,40.0,0.00%
278,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_IceAltar_001_C,60.0,60.0,60.0,0.00%
279,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Pasture_002_C,60.0,60.0,60.0,0.00%
280,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Shop_001_A_C,19.0,19.0,19.0,0.00%
281,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_Stove_001_A_C,60.0,60.0,60.0,0.00%
282,ActorCount/SPGameBuildingStructureActor/BP_SOCM_FA_VegetableGarden_001_C,160.0,160.0,160.0,0.00%
283,ActorCount/SPGameBuildingStructureActor/BP_SOCM_OT_Inbox_001_C,20.0,20.0,20.0,0.00%
284,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PA_Condense_001_C,20.0,20.0,20.0,0.00%
285,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PA_Terminal_001_A_C,20.0,20.0,20.0,0.00%
286,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_ArmorShop_001_A_C,19.0,19.0,19.0,0.00%
287,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Bonfire_001_A_C,20.0,20.0,20.0,0.00%
288,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Fermenter_001_C,60.0,60.0,60.0,0.00%
289,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Furnace_001_A_C,39.0,39.0,39.0,0.00%
290,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_IronMine_001_A_C,20.0,20.0,20.0,0.00%
291,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Kitchen_001_C,60.0,60.0,60.0,0.00%
292,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Lumbermill_001_A_C,39.0,39.0,39.0,0.00%
293,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Machine_001_A_C,38.0,38.0,38.0,0.00%
294,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Millstone_001_A_C,38.0,38.0,38.0,0.00%
295,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Pharmacy_001_C,38.0,38.0,38.0,0.00%
296,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Pharmacy_002_C,38.0,38.0,38.0,0.00%
297,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Pot_001_A_C,60.0,60.0,60.0,0.00%
298,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Quarry_001_A_C,38.0,38.0,38.0,0.00%
299,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Staging_001_C,20.0,20.0,20.0,0.00%
300,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Staging_002_C,38.0,38.0,38.0,0.00%
301,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Staging_003_C,38.0,38.0,38.0,0.00%
302,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Staging_004_C,39.0,39.0,39.0,0.00%
303,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Staging_005_C,38.0,38.0,38.0,0.00%
304,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_Stove_001_C,38.0,38.0,38.0,0.00%
305,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_WeaponShop_001_A_C,19.0,19.0,19.0,0.00%
306,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_pipeline_001_A_C,40.0,40.0,40.0,0.00%
307,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_pipeline_001_B_C,37.0,37.0,37.0,0.00%
308,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_pipeline_002_A_C,38.0,38.0,38.0,0.00%
309,ActorCount/SPGameBuildingStructureActor/BP_SOCM_PR_pipeline_002_B_C,38.0,38.0,38.0,0.00%
310,ActorCount/SPGameBuildingStructureActor/BP_SOCM_ST_Box_001_A_C,100.0,100.0,100.0,0.00%
